user_id,category,subcategory
497780396751323156,1,8
497780396751323156,2,1
365521360157409290,1,7
365521360157409290,1,2
497780396751323156,1,2
497780396751323156,1,7
497780396751323156,1,6
365521360157409290,1,8
365521360157409290,1,7
365521360157409290,1,7
365521360157409290,1,8
365521360157409290,1,3
365521360157409290,1,8
365521360157409290,1,8
365521360157409290,1,3
497780396751323156,1,10
497780396751323156,1,7
497780396751323156,1,1
497780396751323156,1,10
497780396751323156,1,10
497780396751323156,1,8
497780396751323156,1,7
497780396751323156,1,3
497780396751323156,1,5
497780396751323156,1,7
497780396751323156,1,9
497780396751323156,1,4
497780396751323156,1,7
497780396751323156,1,3
497780396751323156,1,8
497780396751323156,1,9
497780396751323156,1,1
497780396751323156,1,2
497780396751323156,1,7
497780396751323156,1,8
497780396751323156,1,8
497780396751323156,1,9
497780396751323156,1,9
497780396751323156,1,4
497780396751323156,1,9
497780396751323156,1,5
497780396751323156,1,3
497780396751323156,1,8
497780396751323156,1,8
497780396751323156,1,2
497780396751323156,1,4
497780396751323156,1,2
497780396751323156,1,5
497780396751323156,1,1
423859657090793472,1,7
423859657090793472,1,4
423859657090793472,1,4
423859657090793472,1,3
423859657090793472,1,3
497780396751323156,1,1
423859657090793472,1,4
423859657090793472,1,5
497780396751323156,1,1
497780396751323156,1,4
497780396751323156,1,7
497780396751323156,1,7
497780396751323156,1,3
497780396751323156,1,5
365521360157409290,1,5
497780396751323156,1,5
497780396751323156,1,3
497780396751323156,1,3
365521360157409290,1,5
365521360157409290,1,5
365521360157409290,1,3
497780396751323156,1,5
497780396751323156,1,5
497780396751323156,1,3
497780396751323156,1,6
497780396751323156,1,3
497780396751323156,1,3
497780396751323156,1,1
497780396751323156,1,6
497780396751323156,1,3
423859657090793472,1,4
497780396751323156,1,4
423859657090793472,1,4
325331140280057856,1,5
325331140280057856,1,6
325331140280057856,1,1
325331140280057856,1,2
325331140280057856,1,6
325331140280057856,1,2
497780396751323156,1,4
497780396751323156,1,3
423859657090793472,1,6
497780396751323156,1,4
497780396751323156,1,6
497780396751323156,1,2
for sale,2,0
